title,artist,mood,tags
Happy,Pharrell Williams,happy,"uplifting, dance, cheerful"
Can't Stop the Feeling!,Justin Timberlake,happy,"feel-good, pop"
Best Day of My Life,American Authors,happy,"upbeat, anthemic"
Uptown Funk,Mark Ronson ft. Bruno Mars,happy,"funk, party"
Good as Hell,Lizzo,happy,"confidence, upbeat"
Fix You,Coldplay,sad,"emotional, healing"
Someone Like You,Adele,sad,"ballad, heartache"
Say Something,A Great Big World & Christina Aguilera,sad,"slow, piano"
Jar of Hearts,Christina Perri,sad,"ballad, breakup"
All I Want,Kodaline,sad,"melancholic, indie"
Let It Be,The Beatles,neutral,"classic, calm"
River Flows In You,Yiruma,neutral,"instrumental, calm"
Weightless,Marconi Union,stressed,"ambient, relax"
Sunset Lover,Petit Biscuit,stressed,"chill, electronic"
Breathe Me,Sia,stressed,"soothing, emotional"
Lose Yourself,Eminem,angry,"motivational, rap"
Numb,Linkin Park,angry,"rock, cathartic"
Talking to the Moon,Bruno Mars,lonely,"ballad, late-night"
Liability,Lorde,lonely,"intimate, reflective"
