title,year,mood,tags
Zootopia,2016,happy,"fun, hopeful"
Paddington 2,2017,happy,"heartwarming, family"
La La Land,2016,happy,"musical, vibrant"
The Pursuit of Happyness,2006,sad,"inspiring, drama"
A Beautiful Mind,2001,sad,"biopic, uplifting"
Manchester by the Sea,2016,sad,"grief, drama"
Forrest Gump,1994,neutral,"life-journey, warm"
Amélie,2001,neutral,"whimsical, romantic"
Inside Out,2015,stressed,"emotions, comforting"
The Secret Life of Walter Mitty,2013,stressed,"adventure, uplifting"
Warrior,2011,angry,"sports, catharsis"
Whiplash,2014,angry,"intense, excellence"
Her,2013,lonely,"romance, introspective"
Lost in Translation,2003,lonely,"quiet, connection"
